id,question,option_a,option_b,option_c,option_d,correct_option
42,Look at this series: 6 10 14 18 22 26 30. What two numbers should come next?,36 40,33 37,38 42,34 36,E
43,Look at this series: 34 30 26 22 18 14 10. What two numbers should come next?,8 6,6 4,14 18,6 2,E
44,Look at this series: 2 44 4 41 6 38 8. What two numbers should come next?,10 12,35 32,34 9,35 10,D
45,Look at this series: 32 29 26 23 20 17 14. What two numbers should come next?,11 8,12 8,11 7,32 29,A
46,Look at this series: 14 14 26 26 38 38 50. What two numbers should come next?,60 72,50 62,50 72,62 62,B
47,Look at this series: 8 12 9 13 10 14 11. What two numbers should come next?,14 11,15 12,8 15,15 19,B
48,Look at this series: 4 7 26 10 13 20 16. What two numbers should come next?,14 4,14 17,18 14,19 13,E
49,Look at this series: 3 8 10 15 17 22 24. What two numbers should come next?,26 28,29 34,29 31,26 31,C
50,Look at this series: 17 14 14 11 11 8 8. What two numbers should come next?,8 5,5 2,8 2,5 5,D
51,Look at this series: 13 29 15 26 17 23 19. What two numbers should come next?,21 23,20 21,20 17,25 27,B
52,Look at this series: 16 26 56 36 46 68 56. What two numbers should come next?,80 66,64 82,66 80,78 68,C
53,Look at this series: 7 9 66 12 14 66 17. What two numbers should come next?,19 66,66 19,19 22,20 66,A
54,Look at this series: 3 5 35 10 12 35 17. What two numbers should come next?,22 35,35 19,19 35,19 24,C
55,Look at this series: 36 31 29 24 22 17 15. What two numbers should come next?,13 11,10 5,13 8,12 7,E
56,Look at this series: 42 40 38 35 33 31 28. What two numbers should come next?,25 22,26 23,26 24,25 23,C
57,Look at this series: 11 14 14 17 17 20 20. What two numbers should come next?,23 23,23 26,21 24,24 24,A
58,Look at this series: 17 32 19 29 21 26 23. What two numbers should come next?,25 25,20 22,23 25,25 22,C
59,Look at this series: 10 34 12 31 14 28 16. What two numbers should come next?,25 18,30 13,19 26,18 20,A
60,Look at this series: 32 31 32 29 32 27 32. What two numbers should come next?,25 32,31 32,29 32,25 30,A
61,"Look at this series: 8, 43, 11, 41, __, 39, 17. What number should fill in the blank?",8,14,43,44,B
62,"Look at this series: 15, __, 27, 27, 39, 39. What number should fill the blank?",51,39,23,15,D
63,"Look at this series: 83, 73, 93, 63, __, 93, 43. What number should fill the blank?",33,53,73,93,B
64,"Look at this series: 4, 7, 25, 10, __, 20, 16, 19. What number should fill the blank?",13,15,20,28,A
65,"Look at this series: 72, 76, 73, 77, 74, __, 75. What number should fill the blank?",70,71,75,78,D
66,"Look at this series: 70, 71, 76, __, 81, 86, 70, 91. What number should fill the blank?",70,71,80,96,A
67,"Look at this series: 664, 332, 340, 170, __, 89. What number should fill the blank?",85,97,109,178,D
68,"Look at this series: 0.15, 0.3, __, 1.2, 2.4. What number should fill the blank?",4.8,0.006,0.6,0.9,C
69,"Look at this series: 1/9, 1/3, 1, __, 9. What number should fill the blank?",2/3,3,6,27,B
70,"Look at this series: U32, V29, __, X23, Y20. What should fill the blank?",W26,W17,Z17,Z26,A
71,"Look at this series: J14, L16, __, P20, R22. What should fill the blank?",S24,N18,M18,T24,B
72,"Look at this series: F2, __, D8, C16, B32. What should fill the blank?",A16,G4,E4,E3,C
73,"Look at this series: V, VIII, XI, XIV, __, XX. What should fill the blank?",IX,XXIII,XV,XVII,D
74,"Look at this series: XXIV, XX, __, XII, VIII. What should fill the blank?",XXII,XIII,XVI,IV,C
75,"Look at this series: VI, 10, V, 11, __, 12, III. What should fill the blank?",II,IV,IX,14,B
76,Which group of letters comes next in the series: QPO NML KJI EDC?,HGF,CAB,JKL,GHI,A
77,Which group comes next: JAK KBL LCM MDN?,OEP,NEO,MEN,PFQ,B
78,Which group comes next: BCD BCD BCD BCD?,"BCD (subscript 2,2)",BCD (7),"BCD (2,3)","BCD (2,2,2)",D
79,Which group comes next: ELFA GLHA ILJA MLNA?,OLPA,KLMA,LLMA,KLLA,D
80,Which group comes next: PQR PQS PQT PQV?,PQW,PQV,PQU,PQU (subscript 3),C
81,Which group comes next: CMM EOO GQQ KUU?,GRR,GSS,ISS,ITT,C
82,Which group comes next: QAR RAS SAT TAU?,UAV,UAT,TAS,TAT,A
83,Which group comes next in the subscript series: DEF1 DEF2 DEF2 DEF3?,DEF3,D3EF,D3E3F3,D2E2F2,A
84,Which group comes next: SCD TEF UGH WKL?,CMN,UJI,VIJ,IJT,C
85,Which group comes next: FAG GAF HAI IAH?,JAK,HAL,HAK,JAI,A
86,Which group comes next: BCB DED FGF HIH?,JKJ,HJH,IJI,JHJ,A
87,Which group comes next: ZA5 YB4 XC6 WD3?,E5V,V5E,VE2,VE7,D
102,Which word does NOT belong with the others?,leopard,cougar,elephant,lion,C
103,Which word does NOT belong with the others?,couch,rug,table,chair,B
104,Which word does NOT belong with the others?,tape,twine,cord,yarn,A
105,Which word does NOT belong with the others?,guitar,flute,violin,cello,B
106,Which word does NOT belong with the others?,tulip,rose,bud,daisy,C
107,Which word does NOT belong with the others?,tire,steering wheel,engine,car,D
108,Which word does NOT belong with the others?,parsley,basil,dill,mayonnaise,D
109,Which word does NOT belong with the others?,branch,dirt,leaf,root,B
110,Which word does NOT belong with the others?,unimportant,trivial,insignificant,familiar,D
111,Which word does NOT belong with the others?,book,index,glossary,chapter,A
112,Which word does NOT belong with the others?,noun,preposition,punctuation,adverb,C
113,Which word does NOT belong with the others?,cornea,retina,pupil,vision,D
114,Which word does NOT belong with the others?,rye,sourdough,pumpernickel,loaf,D
115,Which word does NOT belong with the others?,inch,ounce,centimeter,yard,B
116,Which word does NOT belong with the others?,street,freeway,interstate,expressway,A
117,Which word does NOT belong with the others?,dodge,flee,duck,avoid,B
118,Which word does NOT belong with the others?,heading,body,letter,closing,C
119,Which word does NOT belong with the others?,core,seeds,pulp,slice,D
120,Which word does NOT belong with the others?,unique,beautiful,rare,exceptional,B
121,Which word does NOT belong with the others?,biology,chemistry,theology,zoology,C
122,Which word does NOT belong with the others?,triangle,circle,oval,sphere,A
123,Which word does NOT belong with the others?,excite,flourish,prosper,thrive,A
124,Which word does NOT belong with the others?,evaluate,assess,appraise,instruct,D
125,Which word does NOT belong with the others?,eel,lobster,crab,shrimp,A
126,Which word does NOT belong with the others?,scythe,knife,pliers,saw,C
127,Which word does NOT belong with the others?,two,three,six,eight,B
128,Which word does NOT belong with the others?,peninsula,island,bay,cape,C
129,Which word does NOT belong with the others?,seat,rung,cushion,leg,C
130,Which word does NOT belong with the others?,fair,just,equitable,favorable,D
131,Which word does NOT belong with the others?,defendant,prosecutor,trial,judge,C
132,Which word does NOT belong with the others?,area,variable,circumference,quadrilateral,B
133,Which word does NOT belong with the others?,mayor,lawyer,governor,senator,B
134,Which word does NOT belong with the others?,acute,right,obtuse,parallel,D
135,Which word does NOT belong with the others?,wing,fin,beak,rudder,C
136,Which word does NOT belong with the others?,aorta,heart,liver,stomach,A
137,Find the word that names a necessary part of: book,fiction,pages,pictures,learning,B
138,Find the word that names a necessary part of: guitar,band,teacher,songs,strings,D
139,Find the word that names a necessary part of: shoe,sole,leather,laces,walking,A
140,Find the word that names a necessary part of: respiration,mouth,circulation,oxygen,carbon monoxide,C
141,Find the word that names a necessary part of: election,president,voter,November,nation,B
142,Find the word that names a necessary part of: diploma,principal,curriculum,employment,graduation,D
143,Find the word that names a necessary part of: swimming,pool,bathing suit,water,life jacket,C
144,Find the word that names a necessary part of: school,student,report card,test,learning,A
145,Find the word that names a necessary part of: language,tongue,slang,writing,words,D
146,Find the word that names a necessary part of: desert,cactus,arid,oasis,flat,B
147,Find the word that names a necessary part of: lightning,electricity,thunder,brightness,rain,A
148,Find the word that names a necessary part of: monopoly,corrupt,exclusive,rich,gigantic,B
149,Find the word that names a necessary part of: harvest,autumn,stockpile,tractor,crop,D
150,Find the word that names a necessary part of: gala,celebration,tuxedo,appetizer,orator,A
151,Find the word that names a necessary part of: pain,cut,burn,nuisance,hurt,D
152,Find the word that names a necessary part of: infirmary,surgery,disease,patient,receptionist,C
153,Find the word that names a necessary part of: facsimile,picture,image,mimeograph,copier,B
154,Find the word that names a necessary part of: domicile,tenant,dwelling,kitchen,house,B
155,Find the word that names a necessary part of: culture,civility,education,agriculture,customs,D
156,Find the word that names a necessary part of: bonus,reward,raise,cash,employer,A
157,Find the word that names a necessary part of: antique,rarity,artifact,aged,prehistoric,C
158,Find the word that names a necessary part of: itinerary,map,route,travel,guidebook,B
159,Find the word that names a necessary part of: orchestra,violin,stage,musician,soloist,C
160,Find the word that names a necessary part of: knowledge,school,teacher,textbook,learning,D
161,Find the word that names a necessary part of: dimension,compass,ruler,inch,measure,D
162,Find the word that names a necessary part of: sustenance,nourishment,water,grains,menu,A
163,Find the word that names a necessary part of: ovation,outburst,bravo,applause,encore,C
164,Find the word that names a necessary part of: vertebrate,backbone,reptile,mammal,animal,A
165,Find the word that names a necessary part of: provisions,groceries,supplies,gear,caterers,B
166,Find the word that names a necessary part of: purchase,trade,money,bank,acquisition,D
167,Find the word that names a necessary part of: dome,rounded,geodesic,governmental,coppery,A
168,Find the word that names a necessary part of: recipe,desserts,directions,cookbook,utensils,B
169,Find the word that names a necessary part of: hurricane,beach,cyclone,damage,wind,D
170,Find the word that names a necessary part of: autograph,athlete,actor,signature,pen,C
171,Find the word that names a necessary part of: town,residents,skyscrapers,parks,libraries,A
172,Find the word that names a necessary part of: wedding,love,church,ring,marriage,D
173,Find the word that names a necessary part of: faculty,buildings,textbooks,teachers,meetings,C
174,Find the word that names a necessary part of: cage,enclosure,prisoner,animal,zoo,A
175,Find the word that names a necessary part of: directory,telephone,listing,computer,names,B
176,Find the word that names a necessary part of: contract,agreement,document,written,attorney,A
177,Find the word that names a necessary part of: saddle,horse,seat,stirrups,horn,B
178,Find the word that names a necessary part of: vibration,motion,electricity,science,sound,A
179,Find the word that names a necessary part of: cell,chlorophyll,nucleus,nerve,human,B
180,Find the word that names a necessary part of: champion,running,swimming,winning,speaking,C
181,Find the word that names a necessary part of: glacier,mountain,winter,prehistory,ice,D
182,Cup is to coffee as bowl is to,dish,soup,spoon,food,B
183,Exercise is to gym as eating is to,food,dieting,fitness,restaurant,D
184,Oar is to rowboat as foot is to,running,sneaker,skateboard,jumping,C
185,Window is to pane as book is to,novel,glass,cover,page,D
186,Secretly is to openly as silently is to,scarcely,impolitely,noisily,quietly,C
187,Artist is to painting as senator is to,attorney,law,politician,constituents,B
188,Play is to actor as concert is to,symphony,musician,piano,percussion,B
189,Careful is to cautious as boastful is to,arrogant,humble,joyful,suspicious,A
190,Pride is to lion as school is to,teacher,student,self-respect,fish,D
191,Guide is to direct as reduce is to,decrease,maintain,increase,preserve,A
192,Yard is to inch as quart is to,gallon,ounce,milk,liquid,B
193,Reptile is to lizard as flower is to,petal,stem,daisy,alligator,C
194,Elated is to despondent as enlightened is to,aware,ignorant,miserable,tolerant,B
195,Marathon is to race as hibernation is to,winter,bear,dream,sleep,D
196,Embarrassed is to humiliated as frightened is to,terrified,agitated,courageous,reckless,A
197,Odometer is to mileage as compass is to,speed,hiking,needle,direction,D
198,Optimist is to cheerful as pessimist is to,gloomy,mean,petty,helpful,A
199,Sponge is to porous as rubber is to,massive,solid,elastic,inflexible,C
200,Candid is to indirect as honest is to,frank,wicked,truthful,untruthful,D
201,Pen is to poet as needle is to,thread,button,sewing,tailor,D
242,ant fly bee / hamster squirrel __,spider,mouse,rodent,cat,B
243,carpenter saw nails / pediatrician stethoscope __,thermometer,baby,doctor,illness,A
244,table wood oak / shirt cloth __,sewing,dress,cotton,tree,C
245,rule command dictate / doze sleep __,snore,govern,awaken,hibernate,D
246,meal banquet feast / shelter palace __,mansion,hallway,protection,haven,A
247,fence wall boundary / path alley __,ramp,passageway,airfield,pedestrian,B
248,palette easel brush / textbook lesson plan __,artist,teacher,report card,paint,C
249,snow mountain ski / warmth lake __,sand,swim,sunburn,vacation,B
250,candle lamp floodlight / hut cottage __,tent,city,dwelling,house,D
251,apples fruit supermarket / novel book __,bookstore,magazine,vegetable,shopping,A
252,tadpole frog amphibian / lamb sheep __,animal,wool,farm,mammal,D
253,walk skip run / toss pitch __,swerve,hurl,jump,dance,B
254,honeybee angel bat / kangaroo rabbit __,mermaid,possum,grasshopper,sprinter,C
255,daisy flower plant / bungalow house __,building,cottage,apartment,city,A
256,PETAL : FLOWER is analogous to which pair?,salt : pepper,tire : bicycle,base : ball,sandals : shoes,B
257,BRISTLE : BRUSH is analogous to which pair?,arm : leg,stage : curtain,recline : chair,key : piano,D
258,FISH : SCHOOL is analogous to which pair?,wolf : pack,elephant : jungle,beagle : clan,herd : peacock,A
259,ODOMETER : DISTANCE is analogous to which pair?,scale : weight,length : width,inch : foot,mileage : speed,A
260,SIAMESE : CAT is analogous to which pair?,type : breed,dog : puppy,mark : spot,romaine : lettuce,D
261,PEDAL : BICYCLE is analogous to which pair?,inch : yardstick,walk : skip,tire : automobile,buckle : belt,E
262,PULSATE : THROB is analogous to which pair?,walk : run,tired : sleep,examine : scrutinize,ballet : dancer,C
263,ELEPHANT : PACHYDERM is analogous to which pair?,mantis : rodent,poodle : feline,kangaroo : marsupial,zebra : horse,C
264,DEPRESSED : SAD is analogous to which pair?,neat : considerate,towering : cringing,rapid : plodding,progressive : regressive,E
265,PSYCHOLOGIST : NEUROSIS is analogous to which pair?,ophthalmologist : cataract,dermatologist : fracture,infant : pediatrician,rash : orthopedist,A
266,BINDING : BOOK is analogous to which pair?,criminal : gang,display : museum,artist : carpenter,nail : hammer,E
267,EXPLORE : DISCOVER is analogous to which pair?,read : skim,research : learn,write : print,think : relate,B
268,COTTON : BALE is analogous to which pair?,butter : churn,wine : ferment,grain : shock,curd : cheese,C
269,DIVISION : SECTION is analogous to which pair?,layer : tier,tether : bundle,chapter : verse,riser : stage,A
270,PASTORAL : RURAL is analogous to which pair?,metropolitan : urban,harvest : autumn,agrarian : benevolent,sleepy : nocturnal,A
271,WAITRESS : RESTAURANT is analogous to which pair?,doctor : diagnosis,actor : role,driver : truck,teacher : school,D
272,FINCH : BIRD is analogous to which pair?,frog : toad,elephant : reptile,Dalmatian : dog,collie : marsupial,C
273,RAIN : DRIZZLE is analogous to which pair?,swim : dive,hop : shuffle,juggle : bounce,walk : run,E
274,SKEIN : YARN is analogous to which pair?,squeeze : lemon,fire : coal,ream : paper,tree : lumber,C
275,TAILOR : SUIT is analogous to which pair?,scheme : agent,edit : manuscript,revise : writer,mention : opinion,B
276,CONDUCTOR : ORCHESTRA is analogous to which pair?,jockey : mount,thrasher : hay,driver : tractor,skipper : crew,D
277,JAUNDICE : LIVER is analogous to which pair?,rash : skin,dialysis : kidney,smog : lung,valentine : heart,A
278,COBBLER : SHOE is analogous to which pair?,jockey : horse,contractor : building,mason : stone,cowboy : boot,B
279,PHOBIC : FEARFUL is analogous to which pair?,finicky : thoughtful,cautious : emotional,envious : desiring,shy : familiar,E
280,INTEREST : OBSESSION is analogous to which pair?,mood : feeling,weeping : sadness,dream : fantasy,plan : negation,C
281,MONK : DEVOTION is analogous to which pair?,maniac : pacifism,explorer : contentment,visionary : complacency,rover : wanderlust,D
282,SLAPSTICK : LAUGHTER is analogous to which pair?,fallacy : dismay,genre : mystery,satire : anger,mimicry : tears,E
283,VERVE : ENTHUSIASM is analogous to which pair?,loyalty : duplicity,devotion : reverence,intensity : color,eminence : anonymity,B
284,SOUND : CACOPHONY is analogous to which pair?,taste : style,touch : massage,smell : stench,sight : panorama,C
285,CONVICTION : INCARCERATION is analogous to which pair?,reduction : diminution,induction : amelioration,radicalization : estimation,marginalization : intimidation,A
286,DELTOID : MUSCLE is analogous to which pair?,radius : bone,brain : nerve,tissue : organ,blood : vein,A
287,UMBRAGE : OFFENSE is analogous to which pair?,confusion : penance,infinity : meaning,decorum : decoration,elation : jubilance,D
288,PROFESSOR : ERUDITE is analogous to which pair?,aviator : licensed,inventor : imaginative,procrastinator : conscientious,overseer : wealthy,B
289,DEPENDABLE : CAPRICIOUS is analogous to which pair?,fallible : cantankerous,erasable : obtuse,malleable : limpid,capable : inept,D
290,FROND : PALM is analogous to which pair?,quill : porcupine,blade : evergreen,scale : wallaby,tusk : alligator,A
291,METAPHOR : SYMBOL is analogous to which pair?,pentameter : poem,rhythm : melody,nuance : song,slang : usage,E
292,DIRGE : FUNERAL is analogous to which pair?,chain : letter,bell : church,telephone : call,jingle : commercial,D
293,FERAL : TAME is analogous to which pair?,rancid : rational,repetitive : recurrent,nettlesome : annoying,repentant : honorable,E
294,SPY : CLANDESTINE is analogous to which pair?,accountant : meticulous,furrier : rambunctious,lawyer : ironic,shepherd : garrulous,A
295,DOMINANCE : HEGEMONY is analogous to which pair?,romance : sympathy,furtherance : melancholy,independence : autonomy,tolerance : philanthropy,C
296,AERIE : EAGLE is analogous to which pair?,capital : government,bridge : architect,unit : apartment,kennel : veterinarian,E
297,"granamelke=big tree, pinimelke=little tree, melkehoon=tree house. Which word could mean 'big house'?",granahoon,pinishur,pinihoon,melkegrana,A
298,"lelibroon=yellow hat, plekafroti=flower garden, frotimix=garden salad. Which word could mean 'yellow flower'?",lelifroti,lelipleka,plekabroon,frotibroon,B
299,"moolokarn=blue sky, wilkospadi=bicycle race, moolowilko=blue bicycle. Which word could mean 'racecar'?",wilkozwet,spadiwilko,moolobreil,spadivolo,D
300,"daftafoni=advisement, imodafta=misadvise, imolokti=misconduct. Which word could mean 'statement'?",kratafoni,kratadafta,loktifoni,daftaimo,A
301,"dionot=oak tree, blyonot=oak leaf, blycrin=maple leaf. Which word could mean 'maple syrup'?",blymuth,hupponot,patricrin,crinweel,C
302,"agnoscrenia=poisonous spider, delanocrenia=poisonous snake, agnosdeery=brown spider. Which word could mean 'black widow spider'?",deeryclostagnos,agnosdelano,agnosvitriblunin,trymuttiagnos,C
303,"myncabel=saddle horse, conowir=trail ride, cabelalma=horse blanket. Which word could mean 'horse ride'?",cabelwir,conocabel,almamyn,conoalma,A
304,"godabim=kidney stones, romzbim=kidney beans, romzbako=wax beans. Which word could mean 'wax statue'?",godaromz,lazbim,wasibako,romzpeo,C
305,"tamceno=sky blue, cenorax=blue cheese, aplmitl=star bright. Which word could mean 'bright sky'?",cenotam,mitltam,raxmitl,aplceno,B
306,"gorblflur=fan belt, pixngorbl=ceiling fan, arthtusl=tile roof. Which word could mean 'ceiling tile'?",gorbltusl,flurgorbl,arthflur,pixnarth,D
307,"hapllesh=cloudburst, srenchoch=pinball, resbosrench=ninepin. Which word could mean 'cloud nine'?",leshsrench,ochhapl,haploch,haplresbo,D
308,"migenlasan=cupboard, lasanpoen=boardwalk, cuopdansa=pullman. Which word could mean 'walkway'?",poenmigen,cuopeisel,lasandansa,poenforc,D
309,"morpirquat=birdhouse, beelmorpir=bluebird, beelclak=bluebell. Which word could mean 'houseguest'?",morpirhunde,beelmoki,quathunde,clakquat,C
310,"slar=jump, slary=jumping, slarend=jumped. Which word could mean 'playing'?",clargslarend,clargy,ellaclarg,slarmont,B
311,"briftamint=militant, uftonel=occupied, uftonalene=occupation. Which word could mean 'occupant'?",elbrifta,uftonamint,elamint,briftalene,B
312,"krekinblaf=workforce, dritakrekin=groundwork, krekinalti=workplace. Which word could mean 'someplace'?",moropalti,krekindrita,altiblaf,dritaalti,A
313,"plekapaki=fruitcake, pakishillen=cakewalk, treftalan=buttercup. Which word could mean 'cupcake'?",shillenalan,treftpleka,pakitreft,alanpaki,D
314,"peslligen=basketball court, ligenstrisi=courtroom, oltaganti=placement test. Which word could mean 'guest room'?",peslstrisi,vosefstrisi,gantipesl,oltastrisi,B
315,"jalkamofti=happy birthday, moftihoze=birthday party, mentogunn=goodness. Which word could mean 'happiness'?",jalkagunn,mentohoze,moftihoze,hozemento,A
316,"mallonpiml=blue light, mallontifl=blueberry, arpantifl=raspberry. Which word could mean 'lighthouse'?",tiflmallon,pimlarpan,mallonarpan,pimldoken,D
317,"gemolinea=fair warning, gerimitu=report card, gilageri=weather report. Which word could mean 'fair weather'?",gemogila,gerigeme,gemomitu,gerimita,A
318,"aptaose=first base, eptaose=second base, lartabuk=ballpark. Which word could mean 'baseball'?",buklarta,oseepta,bukose,oselarta,D
319,"relftaga=carefree, otaga=careful, fertaga=careless. Which word could mean 'aftercare'?",zentaga,tagafer,tagazen,relffer,C
320,"malgauper=peach cobbler, malgaport=peach juice, moggagrop=apple jelly. Which word could mean 'apple juice'?",moggaport,malgaauper,gropport,moggagrop,A
321,Which situation below is the best example of Violating an Apartment Lease?,Tim notifies landlord he won't renew lease,Valerie hasn't paid rent for 3 months as agreed in writing,Mark writes a complaint letter to landlord,Leslie calls her attorney about landlord neglect,B
322,Which situation below is the best example of Restitution?,Jake borrows camera and offers to pay for repair after breaking it,Rebecca returns car with empty gas tank and apologizes,Aaron's friend Tom finds burst pipe and calls plumber,Lisa suspects pothole caused flat tire and thinks company should pay,A
323,Which situation below is the best example of Speculation?,Francine decides to wear jeans after reading about Casual Fridays,Mary sits in traffic wishing she took the train,Jennifer feels confident about hotel after research,When Emily opens door in tears Theo guesses there's been a death,D
324,Which situation below is the best example of a Guarantee?,Melissa purchases highest-rated DVD player,Salesperson advises Curt to buy with guarantee,Local auto body shop specializes in used cars,Lori buys used camera with money-back promise if not satisfactory,D
325,Which situation best describes Reentry?,Jacob leaves restaurant to manage a new one,Catherine studies abroad for junior year,Malcolm readjusts to civilian life after military service,Sharon decides she can't share apartment,C
326,Which situation below is the best example of Embellishing the Truth?,Isabel tells coworkers a play was excellent,Realtor describes a house 11 blocks from ocean as prime waterfront property,Fred describes himself as very experienced after 10 years teaching,Basketball coach says talented players will get scholarships,B
327,Which situation below is the best example of Applying for Seasonal Employment?,Ski instructors work December through March,Matthew prefers outdoor jobs,Lucinda interviews for summer waitressing position at beach resort,Doug's ice cream shop stays open late in summer,C
328,Which situation below is the best example of an Informal Gathering?,Book club meets on first Thursday of every month,After learning of promotion Jeremy and coworkers go for a quick drink,Mary sends out 25 invitations for a bridal shower,Clara regularly runs into Peter at Mexican restaurant,B
329,Which situation below is the best example of a batter Legally Completing His Time at Bat?,Jared's blooper puts him in scoring position,Umpire calls a strike on a pitch outside,Pitcher throws knuckleball Joe swings and misses and umpire calls strike,Count is two balls and two strikes as Mario waits,A
330,Which situation below is the best example of a Five-Day Suspension?,Lillian caught cheating on math test and suspended,Marc asked to leave classroom due to disruptions,Franny uses spray paint to write comments on locker room wall and given suspension,Ms. Farmer says students failing midterm must stay for tutoring,C
331,Which situation below is the best example of a Tiebreaker?,At halftime score is tied at 28,Mary and Megan each scored three goals,Referee tosses coin to decide possession,Sharks and Bears finished tied and are now in five-minute overtime,D
332,Which situation below is the best example of Establishing a Power of Attorney?,Louise hires a lawyer to review a contract,Simone takes legal steps to allow her to handle mother's banking,Jack thinks his elderly father can no longer make decisions,At daughter's urging Mrs. Lenox opens retirement account,B
333,Which situation below is the best example of Erratic Behavior?,Julia cannot contain anger about local politics,Martin punches hole in door after learning he's laid off,Rhonda cannot decide which car to buy,Jeffrey has been calling in sick forgetting meetings and being abusive after 3 years of model behavior,D
334,Which situation below is the best example of Posthumous Publication?,Richard's illness took his life before he could enjoy reviews of his novel,Melissa's publisher cancels her book contract,Clarence never thought he'd see third book in trilogy published,Elizabeth honored with literary award and daughter accepts on behalf of deceased mother,A
335,Which situation should the recess aides report to the principal about bullying?,A girl sitting glumly reading a book,Four girls surrounding another girl who seems to have her backpack,Two boys arguing over a basketball play,Three boys huddled over a video game not allowed on school grounds,B
336,Which hygienist candidate should Dr. Miller consider most seriously?,Marilyn with 15 years experience whose employer says she's the best,Lindy who recently graduated top of her class and worked in day care,James with 3 years experience seeking private office position,Kathy experienced and finishing a degree in early childhood education,B
337,Which seed package should Mrs. Jansen choose for her shady Arizona backyard?,Rainbow Collection ideal for Northeast cool moist conditions,Greenhouse Collection for brightly lit locations,Treehouse Collection that thrives in shady and partially shady locations,Oasis Collection for dry climates and bright sunlight,C
